date,daily_sales,daily_expenses,receivables,loan_emi,cash_balance
2026-01-01,5000,3200,1200,500,9000
2026-01-02,5200,3300,1100,500,9200
2026-01-03,4900,3400,1300,500,8800
2026-01-04,5400,3250,1000,500,9600
2026-01-05,5600,3350,900,500,9800
2026-01-06,5100,3450,1250,500,9100
2026-01-07,5300,3300,1150,500,9400
2026-01-08,5500,3380,980,500,9700
2026-01-09,5700,3420,920,500,10000
2026-01-10,5900,3500,850,500,10300
2026-01-11,6100,3600,800,500,10600
2026-01-12,6000,3550,780,500,10800
2026-01-13,6200,3650,760,500,11100
2026-01-14,6400,3700,700,500,11400
2026-01-15,6300,3680,690,500,11600
