date,daily_sales,daily_expenses,receivables,loan_emi,cash_balance
2026-01-01,5600,3300,1450,620,10150
2026-01-02,5664,3347,1480,500,10353
2026-01-03,4798,3594,1510,500,9992
2026-01-04,4847,3631,1540,500,10193
2026-01-05,5946,3588,1570,500,10959
2026-01-06,6010,3635,1600,500,11162
2026-01-07,6164,3292,1630,500,11156
2026-01-08,5633,3339,1660,500,11062
2026-01-09,5697,3486,1410,500,11215
2026-01-10,4941,3613,1440,500,10969
2026-01-11,4790,3650,1470,500,11070
2026-01-12,5979,3627,1500,500,11871
2026-01-13,6133,3384,1530,500,11814
2026-01-14,6197,3431,1560,500,12018
2026-01-15,5666,3478,1590,500,11924
2026-01-16,5820,3525,1620,500,12172
2026-01-17,4884,3632,1370,500,11846
2026-01-18,4933,3669,1400,500,12047
2026-01-19,6102,3376,1430,500,12523
2026-01-20,6166,3423,1460,500,12726
2026-01-21,6230,3570,1490,620,12880
2026-01-22,5789,3617,1520,500,12831
2026-01-23,5853,3664,1550,500,13034
2026-01-24,5027,3771,1580,500,12763
2026-01-25,5076,3688,1330,500,12574
2026-01-26,6135,3515,1360,500,13385
2026-01-27,6199,3562,1390,500,13588
2026-01-28,6353,3609,1420,500,13837
2026-01-29,5822,3756,1450,500,13693
2026-01-30,5886,3803,1480,500,13896
2026-01-31,4970,3790,1510,500,13190
2026-02-01,5019,3827,1540,500,13391
2026-02-02,6168,3654,1290,500,14247
2026-02-03,6322,3701,1320,500,14495
2026-02-04,6386,3748,1350,500,14699
2026-02-05,5855,3795,1380,500,14605
2026-02-06,6009,3552,1410,500,14548
2026-02-07,5113,3809,1440,500,14167
2026-02-08,5162,3846,1470,500,14368
2026-02-09,6291,3693,1500,500,15204
2026-02-10,5705,4100,1250,620,14902
2026-02-11,5769,4147,1280,500,15106
2026-02-12,5328,3804,1310,500,14802
2026-02-13,5392,3851,1340,500,15005
2026-02-14,4606,4088,1370,500,14689
2026-02-15,4455,4125,1400,500,14790
2026-02-16,5674,4092,1430,500,15611
2026-02-17,5738,4139,1460,500,15814
2026-02-18,5892,3896,1210,500,15758
2026-02-19,5361,3943,1240,500,15664
2026-02-20,5425,3990,1270,500,15867
2026-02-21,4549,4227,1300,500,15506
2026-02-22,4598,4144,1330,500,15767
2026-02-23,6357,3971,1360,500,16928
2026-02-24,6511,3628,1390,500,16921
2026-02-25,6575,3675,1420,500,17125
2026-02-26,6044,3822,1170,500,16981
2026-02-27,6198,3869,1200,500,17229
2026-02-28,5342,3986,1230,500,16938
2026-03-01,5391,4023,1260,500,17139
2026-03-02,6480,3720,1290,620,17580
2026-03-03,6544,3767,1320,500,17783
2026-03-04,6608,3814,1350,500,17987
2026-03-05,6167,3861,1380,500,17938
2026-03-06,6231,4008,1130,500,18091
2026-03-07,5285,4005,1160,500,17815
2026-03-08,5334,4042,1190,500,17566
2026-03-09,6513,3759,1220,500,18492
2026-03-10,7357,3726,1250,500,19125
2026-03-11,7511,3773,1280,500,19374
2026-03-12,6980,3820,1310,500,19280
2026-03-13,7044,3867,1340,500,19483
2026-03-14,6208,3844,1090,500,18822
2026-03-15,6257,3881,1120,500,19023
2026-03-16,7326,3718,1150,500,19834
2026-03-17,7480,3765,1180,500,20082
2026-03-18,7544,3912,1210,500,20236
2026-03-19,7013,3959,1240,500,20142
2026-03-20,7167,3616,1270,500,20135
2026-03-21,5571,4163,1300,500,19259
2026-03-22,5420,4080,1050,620,19420
2026-03-23,6669,4037,1080,500,20261
2026-03-24,6733,4084,1110,500,20464
2026-03-25,6797,4131,1140,500,20668
2026-03-26,6356,3888,1170,500,20314
2026-03-27,6420,3935,1200,500,20517
2026-03-28,5514,4182,1230,500,20136
2026-03-29,5563,4219,1260,500,20337
2026-03-30,6702,4176,1010,500,21123
2026-03-31,6766,4223,1040,500,21326
